Symbol,Quantity,OpenDate,OpenPrice,DollarCost,CloseDate,ClosePrice,ClosingAmount,GainLoss,
AAL Jun 12 '20 $16 Put,4,06/05/2020,0.62,250.07,06/05/2020,0.82,325.92,75.85,
AAL Jun 12 '20 $16 Put,26,06/05/2020,0.62,1625.43,06/05/2020,0.84,2170.47,545.05,
AAPL,10,03/12/2020,261.47,2614.70,03/13/2020,260.92,2609.14,-5.56,
AAPL,528,03/12/2020,261.47,138056.11,03/13/2020,261.00,137804.88,-251.23,
AAPL,39,03/12/2020,261.47,10197.33,03/13/2020,261.01,10179.16,-18.17,
AAPL,33,03/12/2020,261.47,8628.51,03/13/2020,261.04,8614.12,-14.39,
AAPL,50,03/12/2020,261.47,13073.50,03/13/2020,261.05,13052.20,-21.29,
AAPL,340,03/12/2020,261.47,88899.77,03/13/2020,261.08,88765.18,-134.59,
ADBE May 15 '20 $350 Call,10,04/28/2020,5.50,5505.16,04/29/2020,5.50,5494.69,-10.47,
ADBE May 15 '20 $360 Call,3,05/13/2020,2.50,751.55,05/13/2020,3.30,988.42,236.87,
ADBE May 15 '20 $360 Call,2,05/13/2020,2.59,519.03,05/13/2020,3.30,658.95,139.92,
ADBE May 15 '20 $360 Call,1,05/13/2020,2.58,258.52,05/13/2020,3.30,329.47,70.96,
ADBE May 15 '20 $360 Call,1,05/13/2020,2.58,258.52,05/13/2020,3.30,329.47,70.96,
ADBE May 15 '20 $360 Call,3,05/13/2020,2.60,781.55,05/13/2020,3.30,988.42,206.87,
ADBE May 15 '20 $370 Call,10,04/29/2020,2.50,2505.16,04/29/2020,2.27,2264.77,-240.40,
AMD Jun 19 '20 $60 Call,30,06/10/2020,1.22,3675.49,06/20/2020,0.00,0.00,-3675.49,
AMD Jun 19 '20 $60 Call,30,06/12/2020,0.30,915.49,06/20/2020,0.00,0.00,-915.49,
AMD Jun 19 '20 $60 Call,60,06/12/2020,0.14,870.98,06/20/2020,0.00,0.00,-870.98,
AMD Jun 26 '20 $60 Call,92,06/19/2020,0.22,2071.51,06/27/2020,0.00,0.00,-2071.51,
AMD Jun 26 '20 $60 Call,58,06/19/2020,0.23,1363.95,06/27/2020,0.00,0.00,-1363.95,
AMD Jun 26 '20 $60 Call,70,06/19/2020,0.17,1226.15,06/27/2020,0.00,0.00,-1226.15,
AMD Jul 02 '20 $60 Call,100,06/24/2020,0.34,3451.64,07/04/2020,0.00,0.00,-3451.64,
AMD Jul 02 '20 $60 Call,50,06/24/2020,0.17,875.82,07/04/2020,0.00,0.00,-875.82,
AMD Jul 24 '20 $62 Call,2,07/22/2020,1.08,217.03,07/22/2020,0.96,190.96,-26.07,
AMD Jul 24 '20 $62 Call,8,07/22/2020,1.08,868.13,07/22/2020,0.96,763.84,-104.30,
AMD Jul 24 '20 $62 Call,10,07/22/2020,0.80,805.16,07/22/2020,1.18,1174.79,369.63,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.11,111.52,07/22/2020,1.50,149.48,37.96,
AMD Jul 24 '20 $62 Call,7,07/22/2020,1.12,787.61,07/22/2020,1.50,1046.35,258.73,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.11,111.52,07/22/2020,1.49,148.48,36.96,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.12,112.52,07/22/2020,1.49,148.48,35.96,
AMD Jul 31 '20 $60 Call,50,06/29/2020,0.60,3025.82,07/07/2020,1.04,5173.97,2148.15,
AMD Jul 31 '20 $60 Call,25,07/02/2020,0.90,2262.91,07/07/2020,1.04,2586.98,324.07,
AMD Jul 31 '20 $60 Call,25,07/02/2020,0.95,2387.91,07/07/2020,1.04,2586.98,199.07,
AMD Jul 31 '20 $60 Call,40,07/07/2020,1.07,4300.66,07/08/2020,0.90,3579.18,-721.47,
AMD Jul 31 '20 $60 Call,30,07/07/2020,1.07,3225.49,07/08/2020,0.90,2684.39,-541.10,
AMD Jul 31 '20 $60 Call,5,07/07/2020,1.07,537.58,07/08/2020,0.90,447.40,-90.18,
AMD Jul 31 '20 $60 Call,100,07/08/2020,0.98,9851.64,07/08/2020,0.98,9747.94,-103.70,
AMD Jul 31 '20 $60 Call,25,07/07/2020,1.07,2687.91,07/08/2020,0.88,2186.99,-500.92,
AMD Jul 31 '20 $60 Call,100,07/08/2020,0.92,9251.64,07/08/2020,0.94,9347.95,96.31,
AMD Jul 31 '20 $60 Call,50,07/08/2020,1.07,5375.82,07/09/2020,1.90,9473.87,4098.05,
AMD Jul 31 '20 $60 Call,50,07/08/2020,1.07,5375.82,07/09/2020,2.84,14173.77,8797.95,
AMD Jul 31 '20 $60 Call,15,07/10/2020,2.60,3907.75,07/14/2020,1.46,2182.18,-1725.57,
AMD Jul 31 '20 $60 Call,9,07/10/2020,2.60,2344.65,07/14/2020,1.46,1309.31,-1035.34,
AMD Jul 31 '20 $60 Call,11,07/10/2020,2.60,2865.68,07/14/2020,1.46,1600.26,-1265.42,
AMD Jul 31 '20 $60 Call,15,07/10/2020,2.40,3607.75,07/20/2020,1.62,2422.17,-1185.58,
AMD Jul 31 '20 $60 Call,25,07/10/2020,2.60,6512.91,07/20/2020,1.62,4036.95,-2475.96,
AMD Jul 31 '20 $60 Call,10,07/14/2020,1.62,1625.16,07/21/2020,1.85,1844.78,219.61,
AMD Jul 31 '20 $60 Call,20,07/14/2020,1.62,3250.33,07/22/2020,3.68,7349.47,4099.14,
AMD Jul 31 '20 $60 Call,4,07/14/2020,1.62,650.07,07/22/2020,3.95,1577.89,927.83,
AMD Jul 31 '20 $60 Call,2,07/21/2020,1.80,361.03,07/22/2020,3.95,788.95,427.91,
AMD Jul 31 '20 $60 Call,5,07/14/2020,1.62,812.58,07/22/2020,3.95,1972.36,1159.78,
AMD Jul 31 '20 $60 Call,1,07/14/2020,1.62,162.52,07/22/2020,3.95,394.47,231.96,
AMD Jul 31 '20 $60 Call,8,07/21/2020,1.80,1444.13,07/22/2020,3.95,3155.78,1711.65,
AMD Jul 31 '20 $65 Call,75,06/24/2020,0.73,5513.73,07/09/2020,0.80,5960.99,447.26,
AMD Jul 31 '20 $67 Call,20,07/23/2020,0.83,1670.33,07/23/2020,0.80,1589.60,-80.73,
AMD Jul 31 '20 $67 Call,11,07/23/2020,0.71,786.68,07/23/2020,0.69,753.28,-33.40,
AMD Jul 31 '20 $67 Call,9,07/23/2020,0.71,643.65,07/23/2020,0.69,616.32,-27.33,
AMD Jul 31 '20 $67 Call,20,07/23/2020,0.83,1670.33,07/23/2020,0.67,1329.60,-340.73,
AMD Jul 31 '20 $67 Call,12,07/23/2020,1.55,1866.20,07/23/2020,0.67,797.76,-1068.44,
AMD Jul 31 '20 $67 Call,4,07/23/2020,1.55,622.07,07/23/2020,0.67,265.92,-356.15,
AMD Jul 31 '20 $67 Call,4,07/23/2020,1.55,622.07,07/23/2020,0.67,265.92,-356.15,
AMD Jul 31 '20 $79 Call,5,07/29/2020,0.46,232.58,07/29/2020,0.79,392.40,159.82,
